"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SI","2021-05-01","101.0","0.63","6.13","Chapman, Aroldis",570731,547973,"strikeout","swinging_strike",,,,,"3","Jonathan Schoop strikes out swinging.","R","R","L","NYY","DET","S","2",,"0","2",2021,"0.78","1.29","0.70","3.22",,,,"2","9","Top",,,,,"596142",,,-1.6840595600603105,-146.988372511604,-5.924446762978427,11.632636593406811,35.73806166099094,-12.241067790765861,"3.41","1.56",,,,"102.2","2560","7",634295,547973,"596142","518934","596059","642180","650402","458731","543305","640449","53.54",,,"0","1","0","0",,"80","3","Sinker","6","4","4","6","4","6","4","6","Strategic","Standard","166","0.011","-0.067"
"FS","2021-05-01","89.1","0.32","6.08","Chapman, Aroldis",570731,547973,,"swinging_strike",,,,,"12","Jonathan Schoop strikes out swinging.","R","R","L","NYY","DET","S",,,"0","1",2021,"0.01","0.01","0.83","2.54",,,,"2","9","Top",,,,,"596142",,,1.2759092444827103,-129.99692444769727,-2.9412635190999343,-0.12582135089176946,19.665608861887765,-31.77569646879753,"3.41","1.56","7",,,"92.2","896","7.4",634295,547973,"596142","518934","596059","642180","650402","458731","543305","640449","53.09",,,,,,,,"80","2","Split-Finger","6","4","4","6","4","6","4","6","Strategic","Standard","263","0","-0.027"
"FF","2021-05-01","100.2","0.56","6.15","Chapman, Aroldis",570731,547973,,"called_strike",,,,,"9","Jonathan Schoop strikes out swinging.","R","R","L","NYY","DET","S",,,"0","0",2021,"0.25","1.52","0.56","2.07",,,,"2","9","Top",,,,,"596142",,,-0.6014041594209099,-145.7626279110633,-9.697100998768665,3.6532434927226713,31.672068370408343,-8.41565724637439,"3.41","1.56",,,,"102.1","2487","7.1",634295,547973,"596142","518934","596059","642180","650402","458731","543305","640449","53.36",,,,,,,,"80","1","4-Seam Fastball","6","4","4","6","4","6","4","6","Strategic","Standard","159","0","-0.017"
"SL","2021-05-01","85.7","0.57","6.22","Chapman, Aroldis",408234,547973,"field_out","hit_into_play",,,,,"7","Miguel Cabrera grounds out, second baseman Rougned Odor to first baseman DJ LeMahieu.","R","R","L","NYY","DET","X","4","ground_ball","0","0",2021,"-1.3","0.13","-0.31","1.76",,,,"1","9","Top",155,156.88,,,"596142",,,0.5777698366944126,-124.942053532118,-4.704595890996244,-13.861435254291663,22.098666829806444,-30.131346441299897,"3.55","1.63","16","83.4","-4","87.8","2472","7.2",634295,547973,"596142","518934","596059","642180","650402","458731","543305","640449","53.27","0.177","0.17","0","1","0","0","2","79","1","Slider","6","4","4","6","4","6","4","6","Strategic","Standard","289","0.023","-0.168"
"SI","2021-05-01","101.0","0.39","6.12","Chapman, Aroldis",650489,547973,"strikeout","swinging_strike",,,,,"3","Willi Castro strikes out swinging.","R","R","L","NYY","DET","S","2",,"0","2",2021,"1","1.44","0.71","3.25",,,,"0","9","Top",,,,,"596142",,,-1.4961815588029836,-147.01194701324113,-6.180006825975331,14.794623410117781,36.85264566281626,-9.984749773574805,"3.41","1.56",,,,"102.2","2484","7",634295,547973,"596142","518934","596059","642180","650402","458731","543305","640449","53.46",,,"0","1","0","0",,"78","3","Sinker","6","4","4","6","4","6","4","6","Standard","Standard","162","0.037","-0.153"
"SL","2021-05-01","87.8","0.73","6.13","Chapman, Aroldis",650489,547973,,"called_strike",,,,,"6","Willi Castro strikes out swinging.","R","R","L","NYY","DET","S",,,"0","1",2021,"-0.5","-0.13","0.36","2.71",,,,"0","9","Top",,,,,"596142",,,0.13690355033696605,-127.89528343528893,-1.9438208884231045,-5.492842725477346,25.63103924083672,-33.41287840301911,"3.41","1.56",,,,"89.8","1001","7.4",634295,547973,"596142","518934","596059","642180","650402","458731","543305","640449","53.13",,,,,,,,"78","2","Slider","6","4","4","6","4","6","4","6","Standard","Standard","312","0","-0.056"
"FF","2021-05-01","98.4","0.62","6.13","Chapman, Aroldis",650489,547973,,"foul",,,,,"7","Willi Castro strikes out swinging.","R","R","L","NYY","DET","S",,,"0","0",2021,"0.19","1.57","-0.29","1.95",,,,"0","9","Top",,,,,"596142",,,-2.9859151191738276,-142.9457487893137,-9.616671699958152,3.367053158478597,34.0986247255571,-8.67354174755803,"3.41","1.56",,,,"99.7","2404","7.2",634295,547973,"596142","518934","596059","642180","650402","458731","543305","640449","53.3",,,,,,,,"78","1","4-Seam Fastball","6","4","4","6","4","6","4","6","Standard","Standard","162","0","-0.042"
"SI","2021-04-29","102.4","0.65","6.19","Chapman, Aroldis",602104,547973,"strikeout","swinging_strike",,,,,"4","Ramon Urias strikes out swinging.","R","R","L","BAL","NYY","S","2",,"1","2",2021,"1.09","1.23","-0.31","2.33",,,,"2","9","Bot",,,,,"596142",,,-5.414158029756913,-148.9599567743208,-8.786118133847255,17.48113560839416,33.94639610197593,-11.967851693564402,"3.37","1.53",,,,"104.4","2512","7.2",634300,547973,"596142","645801","518934","570482","650402","458731","543305","642180","53.27",,,"0","1","0","0",,"75","4","Sinker","3","3","3","3","3","3","3","3","Strategic","Standard","158","-0.033","-0.078"
"FF","2021-04-29","99.1","0.68","6.17","Chapman, Aroldis",602104,547973,,"foul",,,,,"12","Ramon Urias strikes out swinging.","R","R","L","BAL","NYY","S",,,"1","1",2021,"0.59","1.34","0.98","2.64",,,,"2","9","Bot",,,,,"596142",,,-0.596592315763566,-144.15067662533522,-7.441533504360634,8.4081000327116,33.601881210887264,-12.00930078236792,"3.37","1.53","180","80.9","15","100.5","2347","7.1",634300,547973,"596142","645801","518934","570482","650402","458731","543305","642180","53.39",,,,,,,,"75","3","4-Seam Fastball","3","3","3","3","3","3","3","3","Standard","Standard","150","0","-0.029"
"FS","2021-04-29","90.7","0.64","6.25","Chapman, Aroldis",602104,547973,,"ball",,,,,"12","Ramon Urias strikes out swinging.","R","R","L","BAL","NYY","B",,,"0","1",2021,"0.46","0.53","1.20","2.72",,,,"2","9","Bot",,,,,"596142",,,0.4174239771201338,-132.08430160221604,-4.110358173537737,5.308035215220511,28.7127554508747,-25.2778228598082,"3.18","1.47",,,,"92.5","545","7.3",634300,547973,"596142","645801","518934","570482","650402","458731","543305","642180","53.15",,,,,,,,"75","2","Split-Finger","3","3","3","3","3","3","3","3","Standard","Standard","104","0","0.013"
"FF","2021-04-29","99.8","0.72","6.2","Chapman, Aroldis",602104,547973,,"foul",,,,,"5","Ramon Urias strikes out swinging.","R","R","L","BAL","NYY","S",,,"0","0",2021,"0.58","1.47","0.14","2.16",,,,"2","9","Bot",,,,,"596142",,,-3.020651359940622,-144.98962980540475,-9.269335826396471,8.959653833242665,35.15765069308769,-9.399296700897727,"3.37","1.53","255","76.5","36","101","2595","7.1",634300,547973,"596142","645801","518934","570482","650402","458731","543305","642180","53.38",,,,,,,,"75","1","4-Seam Fastball","3","3","3","3","3","3","3","3","Standard","Standard","155","0","-0.017"
"FF","2021-04-29","99.6","0.88","6.15","Chapman, Aroldis",621466,547973,"strikeout","called_strike",,,,,"9","DJ Stewart called out on strikes.","R","L","L","BAL","NYY","S","2",,"3","2",2021,"0.52","1.52","0.40","1.70",,,,"1","9","Bot",,,,,"596142",,,-2.605454986890246,-144.7387877530578,-10.516726843177846,7.967422829634032,35.26422860735755,-8.541709753923682,"3.1","1.43",,,,"101.1","2574","7.3",634300,547973,"596142","645801","518934","570482","650402","458731","543305","642180","53.23",,,"0","1","0","0",,"74","7","4-Seam Fastball","3","3","3","3","3","3","3","3","Infield shift","Standard","156","-0.044","-0.208"
