"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2021-04-28","86.6","1.7","6.17","Kershaw, Clayton",663886,477132,"strikeout","swinging_strike",,,,,"9","Tyler Stephenson strikes out swinging.","R","R","L","LAD","CIN","S","2",,"3","2",2021,"-0.34","0.81","0.45","1.42",,,,"2","7","Top",,,,,"605131",,,-2.283757626991157,-125.89386577832605,-6.713112069527451,-3.131983789369751,27.155612408171585,-22.391789174155463,"3.18","1.5",,,,"86.2","2730","6.3",634365,477132,"605131","571970","621035","457759","666158","572041","605141","670042","54.25",,,"0","1","0","0",,"50","9","Slider","2","0","0","2","0","2","0","2","Standard","Standard","198","0.013","-0.135"
"FF","2021-04-28","91.0","1.55","6.18","Kershaw, Clayton",663886,477132,,"ball",,,,,"12","Tyler Stephenson strikes out swinging.","R","R","L","LAD","CIN","B",,,"2","2",2021,"0.49","1.59","1.14","3.95",,,,"2","7","Top",,,,,"605131",,,-2.069025111309916,-132.4913143695442,-3.0918505953348077,6.272236936550756,27.98204856436649,-13.0067473800955,"3.24","1.53",,,,"90.6","2477","6",634365,477132,"605131","571970","621035","457759","666158","572041","605141","670042","54.49",,,,,,,,"50","8","4-Seam Fastball","2","0","0","2","0","2","0","2","Standard","Standard","181","0","0.039"
"SL","2021-04-28","87.4","1.6","6.21","Kershaw, Clayton",663886,477132,,"foul",,,,,"8","Tyler Stephenson strikes out swinging.","R","R","L","LAD","CIN","S",,,"2","2",2021,"-0.59","0.82","-0.17","1.49",,,,"2","7","Top",,,,,"605131",,,-3.0328919129397645,-127.24122786763684,-6.948717176296161,-5.890201363607639,24.973737012681177,-22.01539462514189,"3.18","1.5",,,,"87.4","2717","6.2",634365,477132,"605131","571970","621035","457759","666158","572041","605141","670042","54.31",,,,,,,,"50","7","Slider","2","0","0","2","0","2","0","2","Standard","Standard","204","0","0"
"CU","2021-04-28","74.2","1.22","6.37","Kershaw, Clayton",663886,477132,,"foul",,,,,"2","Tyler Stephenson strikes out swinging.","R","R","L","LAD","CIN","S",,,"2","2",2021,"-0.31","-1.28","-0.03","2.94",,,,"2","7","Top",,,,,"605131",,,-2.0002314052481034,-108.04636351550317,2.4799939190252065,-2.024508902665942,19.875954168626134,-42.87357643315084,"3.18","1.5","22","67.2","-6","73.7","2385","6",634365,477132,"605131","571970","621035","457759","666158","572041","605141","670042","54.53",,,,,,,,"50","6","Curveball","2","0","0","2","0","2","0","2","Standard","Standard","29","0","0"
"SL","2021-04-28","86.4","1.58","6.22","Kershaw, Clayton",663886,477132,,"foul",,,,,"4","Tyler Stephenson strikes out swinging.","R","R","L","LAD","CIN","S",,,"2","2",2021,"-0.4","0.46","-0.43","2.41",,,,"2","7","Top",,,,,"605131",,,-3.9641805085004336,-125.91745770843391,-3.9182311489425574,-3.6392143301472593,20.90839968035955,-26.732429756591866,"3.18","1.5","6","102.9","-21","86.8","2697","6",634365,477132,"605131","571970","621035","457759","666158","572041","605141","670042","54.45",,,,,,,,"50","5","Slider","2","0","0","2","0","2","0","2","Standard","Standard","201","0","0"
"SL","2021-04-28","86.3","1.56","6.27","Kershaw, Clayton",663886,477132,,"swinging_strike",,,,,"1","Tyler Stephenson strikes out swinging.","R","R","L","LAD","CIN","S",,,"2","1",2021,"-0.55","0.42","-0.52","2.69",,,,"2","7","Top",,,,,"605131",,,-3.8231699035114137,-125.85889445416935,-3.2683113317505907,-5.241270601868181,21.306686352821675,-27.22283804035351,"3.18","1.5",,,,"86.8","2746","6.1",634365,477132,"605131","571970","621035","457759","666158","572041","605141","670042","54.38",,,,,,,,"50","4","Slider","2","0","0","2","0","2","0","2","Infield shift","Standard","203","0","-0.032"
"CU","2021-04-28","73.9","1.37","6.31","Kershaw, Clayton",663886,477132,,"ball",,,,,"14","Tyler Stephenson strikes out swinging.","R","R","L","LAD","CIN","B",,,"1","1",2021,"-0.41","-1.21","0.25","0.35",,,,"2","7","Top",,,,,"605131",,,-1.5612193496366742,-107.66967244291385,-2.7503760004376,-2.908642329458316,19.61484649430229,-41.27377509478012,"3.38","1.49",,,,"73.6","2602","6.1",634365,477132,"605131","571970","621035","457759","666158","572041","605141","670042","54.4",,,,,,,,"50","3","Curveball","2","0","0","2","0","2","0","2","Infield shift","Standard","351","0","0.021"
"SL","2021-04-28","87.2","1.57","6.27","Kershaw, Clayton",663886,477132,,"swinging_strike",,,,,"13","Tyler Stephenson strikes out swinging.","R","R","L","LAD","CIN","S",,,"1","0",2021,"-0.52","0.8","-1.22","1.28",,,,"2","7","Top",,,,,"605131",,,-5.6015647446783285,-126.76329217766958,-7.489612362430893,-4.629278630740724,23.436740286156315,-22.285352628262046,"3.18","1.5",,,,"87.2","2667","6.1",634365,477132,"605131","571970","621035","457759","666158","572041","605141","670042","54.4",,,,,,,,"50","2","Slider","2","0","0","2","0","2","0","2","Infield shift","Standard","202","0","-0.022"
"FF","2021-04-28","90.6","1.67","6.13","Kershaw, Clayton",663886,477132,,"ball",,,,,"13","Tyler Stephenson strikes out swinging.","R","R","L","LAD","CIN","B",,,"0","0",2021,"-0.31","1.55","-1.02","1.50",,,,"2","7","Top",,,,,"605131",,,-6.016350297668519,-131.6358919555757,-8.884120667712294,-2.3689921871826636,27.313027209508626,-12.4452640583909,"3.29","1.56",,,,"90.1","2533","6",634365,477132,"605131","571970","621035","457759","666158","572041","605141","670042","54.46",,,,,,,,"50","1","4-Seam Fastball","2","0","0","2","0","2","0","2","Infield shift","Standard","181","0","0.018"
"CU","2021-04-28","74.9","1.35","6.35","Kershaw, Clayton",519058,477132,"field_out","hit_into_play",,,,,"4","Mike Moustakas lines out sharply to second baseman Chris Taylor.","R","L","L","LAD","CIN","X","4","line_drive","0","2",2021,"-0.61","-1.31","-0.33","2.49",,,,"1","7","Top",169.08,134.92,,,"605131",,,-2.3719060840302046,-108.84581443261443,1.6751467941071798,-4.285732777872808,22.898527684465307,-43.07725370419921,"3.37","1.53","194","106.9","9","73.7","2745","6",634365,477132,"605131","571970","621035","457759","666158","572041","605141","670042","54.55","0.846","0.862","0","1","0","0","4","49","3","Curveball","2","0","0","2","0","2","0","2","Infield shift","Standard","332","0.023","-0.103"
