"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2021-04-14","91.0","-2.2","5.9","Maeda, Kenta",646240,628317,"field_out","hit_into_play",,,,,"11","Rafael Devers grounds out, shortstop JT Riddle to first baseman Willians Astudillo.   Xander Bogaerts to 3rd.","R","L","R","MIN","BOS","X","6","ground_ball","3","2",2021,"-0.55","1.26","-0.83","3.05",,"593428",,"0","5","Top",137.81,148.16,,,"680777",,,4.587389643232945,-132.5417783079819,-3.956864871150603,-7.452893653167968,27.524042490644565,-16.640867838969,"3.37","1.53","16","108.3","-10","90.6","2034","6",634574,628317,"680777","553902","593871","650333","595375","666135","595909","596146","54.54","0.363","0.331","0","1","0","0","2","41","6","4-Seam Fastball","2","3","3","2","3","2","3","2","Infield shift","Standard","213","0.005","-0.3"
"FF","2021-04-14","90.9","-2.33","5.83","Maeda, Kenta",646240,628317,,"ball",,,,,"11","Rafael Devers grounds out, shortstop JT Riddle to first baseman Willians Astudillo.   Xander Bogaerts to 3rd.","R","L","R","MIN","BOS","B",,,"2","2",2021,"-0.6","1.36","-1.34","2.65",,"593428",,"0","5","Top",,,,,"680777",,,3.729592122706369,-132.2651736794331,-4.969338864965336,-7.79646112848051,27.2405247056379,-15.311087635711724,"3.27","1.53",,,,"90.6","2130","6",634574,628317,"680777","553902","593871","650333","595375","666135","595909","596146","54.49",,,,,,,,"41","5","4-Seam Fastball","2","3","3","2","3","2","3","2","Infield shift","Standard","208","0","0.142"
"FF","2021-04-14","90.7","-2.27","5.8","Maeda, Kenta",646240,628317,,"swinging_strike",,,,,"8","Rafael Devers grounds out, shortstop JT Riddle to first baseman Willians Astudillo.   Xander Bogaerts to 3rd.","R","L","R","MIN","BOS","S",,,"2","1",2021,"-0.83","1.45","-0.21","2.09",,"593428",,"0","5","Top",,,,,"680777",,,6.872429077962317,-131.79850876035718,-6.411822934548842,-11.197043732934574,28.648117181532406,-14.081728277913912,"3.37","1.53",,,,"90.1","2200","6",634574,628317,"680777","553902","593871","650333","595375","666135","595909","596146","54.47",,,,,,,,"41","4","4-Seam Fastball","2","3","3","2","3","2","3","2","Infield shift","Standard","217","0","-0.108"
"FF","2021-04-14","90.4","-2.22","5.86","Maeda, Kenta",646240,628317,,"swinging_strike",,,,,"7","Rafael Devers grounds out, shortstop JT Riddle to first baseman Willians Astudillo.   Xander Bogaerts to 3rd.","R","L","R","MIN","BOS","S",,,"2","0",2021,"-0.69","1.37","-0.31","2.10",,"593428",,"0","5","Top",,,,,"680777",,,6.16466966468794,-131.4436238736259,-6.317571538611072,-9.307460859569908,27.0730092369959,-15.094300574630632,"3.37","1.53",,,,"89.7","2209","5.8",634574,628317,"680777","553902","593871","650333","595375","666135","595909","596146","54.66",,,,,,,,"41","3","4-Seam Fastball","2","3","3","2","3","2","3","2","Infield shift","Standard","218","0","-0.109"
"CH","2021-04-14","84.5","-2.13","6.01","Maeda, Kenta",646240,628317,,"blocked_ball",,,,,"14","Rafael Devers grounds out, shortstop JT Riddle to first baseman Willians Astudillo.   Xander Bogaerts to 3rd.","R","L","R","MIN","BOS","B",,,"1","0",2021,"-1.35","0.02","0.93","0.51",,"593428",,"0","5","Top",,,,,"680777",,,9.712080855042533,-122.59267769760591,-6.465942236718945,-15.469850889548441,21.71481706012665,-30.94687673430982,"3.37","1.53",,,,"84","1310","5.9",634574,628317,"680777","553902","593871","650333","595375","666135","595909","596146","54.58",,,,,,,,"41","2","Changeup","2","3","3","2","3","2","3","2","Infield shift","Standard","243","0","0.05"
"CH","2021-04-14","84.2","-2.27","5.94","Maeda, Kenta",646240,628317,,"blocked_ball",,,,,"14","Rafael Devers grounds out, shortstop JT Riddle to first baseman Willians Astudillo.   Xander Bogaerts to 3rd.","R","L","R","MIN","BOS","B",,,"0","0",2021,"-1.21","0.05","0.22","0.62",,"593428",,"0","5","Top",,,,,"680777",,,8.095836194926454,-122.40302430802174,-6.096347455027685,-13.680099817212277,21.20950073628185,-30.73111559299371,"3.37","1.53",,,,"84","1461","5.9",634574,628317,"680777","553902","593871","650333","595375","666135","595909","596146","54.58",,,,,,,,"41","1","Changeup","2","3","3","2","3","2","3","2","Infield shift","Standard","243","0","0.068"
"SL","2021-04-14","83.3","-2.22","5.81","Maeda, Kenta",593428,628317,"double","hit_into_play",,,,,"5","Xander Bogaerts doubles (3) on a sharp line drive to left fielder Alex Kirilloff.","R","R","R","MIN","BOS","X","7","line_drive","1","1",2021,"-0.07","0.58","-0.23","2.49",,,,"0","5","Top",66.11,138.85,,,"680777",,,4.687592151786204,-121.25179479443581,-2.339174725943809,-1.5772545387443249,22.405505749341444,-26.186177234276222,"3.47","1.59","140","113.3","7","83","2475","5.9",634574,628317,"680777","553902","593871","650333","595375","666135","595909","596146","54.58","0.754","0.759","1.25","1","1","1","5","40","3","Slider","2","3","3","2","3","2","3","2","Standard","Standard","124","-0.068","0.642"
"SL","2021-04-14","83.1","-2.26","5.92","Maeda, Kenta",593428,628317,,"ball",,,,,"12","Xander Bogaerts doubles (3) on a sharp line drive to left fielder Alex Kirilloff.","R","R","R","MIN","BOS","B",,,"0","1",2021,"0.17","0.56","1.49","2.65",,,,"0","5","Top",,,,,"680777",,,8.19208906849393,-120.86420080591732,-2.1229185695435127,0.11434577144353267,22.65919917956068,-26.504462973420008,"3.37","1.59",,,,"82.5","2599","5.8",634574,628317,"680777","553902","593871","650333","595375","666135","595909","596146","54.71",,,,,,,,"40","2","Slider","2","3","3","2","3","2","3","2","Standard","Standard","97","0","0.032"
"FF","2021-04-14","89.6","-2.26","5.85","Maeda, Kenta",593428,628317,,"foul",,,,,"6","Xander Bogaerts doubles (3) on a sharp line drive to left fielder Alex Kirilloff.","R","R","R","MIN","BOS","S",,,"0","0",2021,"-0.45","1.39","0.68","2.37",,,,"0","5","Top",,,,,"680777",,,8.158110484198568,-130.20681722001214,-5.521216842460067,-6.7983069422415365,25.81798433488153,-15.363228977047198,"3.47","1.59","230","79.1","45","89.1","2015","5.9",634574,628317,"680777","553902","593871","650333","595375","666135","595909","596146","54.56",,,,,,,,"40","1","4-Seam Fastball","2","3","3","2","3","2","3","2","Standard","Standard","218","0","-0.042"
"FF","2021-04-14","90.9","-2.13","5.85","Maeda, Kenta",502110,628317,"strikeout","swinging_strike",,,,,"6","J.D. Martinez strikes out swinging.","R","R","R","MIN","BOS","S","2",,"0","2",2021,"-0.7","1.47","0.75","2.54",,"624414",,"2","4","Top",,,,,"680777",,,8.631249768629289,-132.08145323806275,-5.493740527406251,-9.946328188623685,26.583915516756452,-13.96632008810673,"3.49","1.6",,,,"90.3","2306","5.9",634574,628317,"680777","553902","593871","650333","595375","666135","595909","596146","54.61",,,"0","1","0","0",,"35","3","4-Seam Fastball","2","3","3","2","3","2","3","2","Standard","Standard","213","0.039","-0.205"
